 ,00,01,10,11
愛情懸崖,3.4087819682291802,2.7193379131158633,3.4477375532503207,3.169545348048378
愛的飛行日記,2.8600677403302996,2.7251053996669707,2.8712880794167828,3.1369459035427734
懦夫,3.704653840663101,3.2736952086628226,3.784281088694412,3.7741224706692456
我不配,4.664835829846458,3.11139478041787,3.9449418963924994,3.519026395224786
我的地盤,3.539253741491253,3.205333666587742,3.249069804045881,4.288119824538201
我落淚。情緒零碎,3.695476497274,3.0050257953981547,3.3105109349910893,2.932027148780747
我要夏天,2.445882623901792,2.315128694290505,2.4710117081274694,3.2613202511920925
手寫的從前,3.9482567080449757,3.3282496563093105,3.728557062974463,4.670399900480879
手語,3.4366342161714134,3.21413081051977,3.4427925860966933,4.405652355128823
扯,3.64162689932916,3.158524917504939,4.384780339670892,4.024445458465368
擱淺,2.799984796601328,2.2780226204027074,2.900709010920056,2.4622988125419485
星晴,2.1090136175656315,3.8863406954787663,1.9421266559483368,2.3998935478511303
時光機,3.9382644317444693,3.353307733204416,3.765647518187852,4.356461812595441
晴天,3.802816705539451,3.3814017107896532,4.0602892020333945,3.5802072436743617
最後的戰役,3.0256588223044587,2.690924628629432,3.5068650368591654,3.1685295630757664
最長的電影,3.2174125926303994,2.909002261581974,3.5849543903636563,3.1207800110078643
本草綱目,3.277821116862334,2.9026963535529986,3.334750300824933,4.3571270690020905
東風破,2.897715548397768,2.3283994483442996,2.5075092246071957,2.3753999328332203
梯田,5.087759624886284,4.332356440922483,4.777755141847392,5.220539461722919
楓,3.490192030427928,3.0828891411819463,3.842470061336322,3.212002715030249
止戰之殤,3.489724866027753,3.2763619184647728,3.7137264264313514,3.5660673132937255
比較大的大提琴,3.44652445153152,3.1211644127749723,3.796579332786774,5.2119334700206705
水手怕水,3.363399986979017,2.703830354001186,3.0714950281950526,4.026867597516819
浪漫手機,3.6680804829224614,4.06329918354287,3.5632541057836518,3.7559932383191628
火車叨位去,2.4649411483925436,2.2176632888365484,2.3198027439130824,2.4416923205180305
烏克麗麗,3.249747558065839,2.9987219684722475,3.1745976208055717,4.300530302873023
無雙,3.2890967310785055,2.908789390314511,3.3433539006329935,3.900229830279963
煙花易冷,4.022731706285885,3.012230991380898,3.5209101004310486,3.2087516041746778
爸我回來了,4.179638983818761,3.5633810745449686,3.6464953675705924,4.002785249992253
爺爺泡的茶,3.2557212385573484,2.9139057764448077,3.413256343499066,3.7844309582050215
牛仔很忙,3.137761560752106,3.102384765218379,3.32736601521811,3.944723078178389
珊瑚海,3.520802864668732,2.837174914075697,4.033963979070739,3.2548935658348483
琴傷,3.283710612980182,3.2137657818377305,3.7602703239519593,3.567719552178267
甜甜的,3.8928984786314995,3.44283580420848,3.855218990180033,4.342024471545799
療傷燒肉粽,3.6479043468261545,3.0957787045663903,3.64451339760267,4.382314441574164
白色風車,3.5804812147382368,3.076527592694026,3.610056847349875,3.4488684229358517
皮影戲,2.5018043735026665,2.4556156553918034,2.415411948040588,3.5574223873048654
稻香,4.252526524897023,4.549273906701688,4.108690563439824,4.534686507553119
竊愛,2.3251434739654204,2.426985337431768,2.363562288178689,3.041608096081909
算什麼男人,3.375786413018569,3.190875471738338,3.950471552541581,3.8664456156294063
簡單愛,3.2094451852641943,3.398748084674424,3.0375666326581827,3.063120892334228
米蘭的小鐵匠,2.7460339558089344,2.2393033631843733,2.508141544508304,2.6137673067637723
紅塵客棧,2.7846069161385176,2.3692511560928553,3.2641548857435225,2.4592858900699284
紅模仿,4.392494910437032,4.000226919342499,4.664449794997993,4.924152290991907
給我一首歌的時間,4.512892625560943,3.362037919974346,3.7435529220837673,3.5397465724183923
美人魚,2.95439313113981,2.7079804950156183,2.971823110402163,2.642127292234344
聽媽媽的話,4.261052080819239,5.336806732068893,4.32659468069358,4.877442580071763
聽爸爸的話,3.95522364521829,3.6381316437984323,4.375988342177377,4.075356578531185
聽見下雨的聲音,3.205800354576847,2.8470255844791392,3.120529629754984,3.3260948474516945
英雄,2.9208936297785506,2.6787701960030086,3.0393510364954284,3.8426765035081316
菊花台,2.5857293831744994,2.229535811930341,2.308863316715362,1.8313952878663144
蒲公英的約定,3.537932193686292,3.1024932819551805,3.272254874648792,3.445893518077303
藉口,3.573085855564044,2.9802891065073123,3.435331898813745,3.205326736269793
藍色風暴,2.9776292239794966,2.6805791774258956,3.2305935974962914,3.1827051535242603
蘭亭序,3.193966591804662,2.864795346242093,3.585905267941734,2.868279853436304
蛇舞,3.0601247413023094,2.7074420735377496,3.567695374454603,2.775090268741078
說了再見,3.181323555506276,2.9296719286077932,3.4570257629497156,2.871668017486649
說好的幸福呢,3.5765569458726856,2.8290226272552705,3.9002681959475507,3.3819711519246107
說走就走,3.376118279367694,3.5844079326777964,3.154837490562663,4.611999922198842
超跑女神,3.2545881127506173,2.8541954641963914,3.1525696787426605,4.0987663851973855
跨時代,1.7518108630987606,1.4957157861185122,1.9385936211970214,1.7540847021116819
迷迭香,2.613593502446684,3.598475155150707,2.556753500994225,2.5961960614502795
迷魂曲,3.5581831535700004,2.734847553333612,3.306286113348166,4.218122340548093
退後,2.6490843341219636,2.181352148371857,3.070373555409228,2.1889284328275833
開不了口,3.90161633184956,3.5881177634358092,3.925772663166249,3.7767046109391815
陽光宅男,4.150438476940346,3.932577191541115,4.016065736103041,4.760792760567109
陽明山,3.6054007357244395,3.347292059120352,3.639257984649569,4.512261606220991
雙截棍,2.6587256732201885,2.5943626733353833,2.753878199081907,3.2273692146480832
雨下一整晚,3.3187689515288574,2.61610918331694,2.7109257877248645,2.7149317499905647
青花瓷,2.388890933378027,3.4058485532458835,2.4706599553890856,2.167671021138714
鞋子特大號,3.8578004694808787,3.793469307121637,4.134557330961249,5.68142979289755
驚嘆號,2.501643104609167,2.1986271293347164,2.528863309547633,3.026413279777116
髮如雪,2.409757987301451,2.0041677827425746,2.806633974966919,2.0921162411057903
鬥牛,4.345297298143991,3.0768926213760643,3.238276841805803,3.6601066005622647
魔術先生,3.8257403711497657,3.490291491505954,3.897482830152128,4.737965869013569
麥芽糖,3.035905466705345,2.816911835306623,2.865175204464701,3.222409149441817
黑色幽默,2.4776420981504983,2.185287337015755,2.8722497920013477,2.54894494041563
黑色毛衣,2.4229648438588782,2.4716091922724295,2.224458605450729,2.5234539354208234
龍戰騎士,3.2884530836553023,2.9251609211174627,3.575882564725948,3.0232564836664655
龍拳,2.1562825272618342,1.8631424001634072,2.1197291443315884,2.498833853175074
龍捲風,3.8702552496944858,2.9182293102550694,3.441992704813776,3.0387368730036495
